commune;column_6;column_2;column_3;column_4;column_5;commune_maj;province;province_maj
Moindou;2014;709;160;146;869;MOINDOU;province Sud;PROVINCE SUD
Mont-Dore;2014;27155;784;424;27939;MONT-DORE;province Sud;PROVINCE SUD
Poum;2014;1463;606;525;2069;POUM;province Nord;PROVINCE NORD
Sarraméa;2014;584;272;262;856;SARRAMEA;province Sud;PROVINCE SUD
Voh;2014;3160;653;570;3813;VOH;province Nord;PROVINCE NORD
Boulouparis;2004;2089;182;176;2271;BOULOUPARIS;province Sud;PROVINCE SUD
Hienghène;2004;2627;844;832;3471;HIENGHENE;province Nord;PROVINCE NORD
Kaala-Gomen;2004;1881;292;239;2173;KAALA-GOMEN;province Nord;PROVINCE NORD
Koné;2004;4500;909;686;5409;KONE;province Nord;PROVINCE NORD
Moindou;2004;602;80;79;682;MOINDOU;province Sud;PROVINCE SUD
Païta;2004;11941;963;204;12904;PAITA;province Sud;PROVINCE SUD
Pouébo;2004;2381;908;771;3289;POUEBO;province Nord;PROVINCE NORD
Poya;2004;2600;260;248;2860;POYA;province Nord,province Sud;PROVINCE NORD,PROVINCE SUD
Sarraméa;2004;610;207;207;817;SARRAMEA;province Sud;PROVINCE SUD
Touho;2004;2274;730;396;3004;TOUHO;province Nord;PROVINCE NORD
Kouaoua;2004;1586;254;248;1840;KOUAOUA;province Nord;PROVINCE NORD
Belep;2009;895;585;557;1480;BELEP;province Nord;PROVINCE NORD
Boulouparis;2009;2418;258;235;2676;BOULOUPARIS;province Sud;PROVINCE SUD
Hienghène;2009;2399;1192;1104;3591;HIENGHENE;province Nord;PROVINCE NORD
Houailou;2009;3945;1906;1739;5851;HOUAILOU;province Nord;PROVINCE NORD
Kaala-Gomen;2009;1931;536;417;2467;KAALA-GOMEN;province Nord;PROVINCE NORD
Lifou;2009;8627;12617;12293;21244;LIFOU;province des îles Loyauté;PROVINCE DES ÎLES LOYAUTÉ
Maré;2009;5417;6083;5860;11500;MARE;province des îles Loyauté;PROVINCE DES ÎLES LOYAUTÉ
Ouégoa;2009;2132;841;751;2973;OUEGOA;province Nord;PROVINCE NORD
Poya;2009;2648;429;389;3077;POYA;province Nord,province Sud;PROVINCE NORD,PROVINCE SUD
Boulouparis;1996;1591;157;151;1748;BOULOUPARIS;province Sud;PROVINCE SUD
Bourail;1996;4243;1190;275;5433;BOURAIL;province Sud;PROVINCE SUD
Houailou;1996;4332;1519;953;5851;HOUAILOU;province Nord;PROVINCE NORD
Koumac;1996;2613;593;198;3206;KOUMAC;province Nord;PROVINCE NORD
Moindou;1996;568;87;83;655;MOINDOU;province Sud;PROVINCE SUD
Poindimié;1996;4340;897;561;5237;POINDIMIE;province Nord;PROVINCE NORD
Pouembout;1996;1188;176;52;1364;POUEMBOUT;province Nord;PROVINCE NORD
